filename,labels
s10_b07_r1_imag0001.jpg,1
s10_b07_r1_imag0007.jpg,1
s10_b07_r1_imag0011.jpg,1
s10_b07_r1_imag0014.jpg,1
s10_b07_r1_imag0017.jpg,1
s10_b07_r1_imag0047.jpg,1
s10_b07_r1_imag0056.jpg,1
s10_b07_r1_imag0059.jpg,1
s10_b07_r1_imag0314.jpg,1
s10_b07_r1_imag0828.jpg,1
s10_b07_r1_imag1029.jpg,1
s10_b07_r1_imag3620.jpg,1
s10_b07_r1_imag3959.jpg,1
s10_b07_r1_imag4415.jpg,1
s10_b07_r1_imag4487.jpg,1
s10_b07_r2_imag0005.jpg,1
s10_b07_r2_imag1025.jpg,1
s10_b13_r1_imag0004.jpg,1
s10_b13_r1_imag0028.jpg,
s10_b13_r1_imag0040.jpg,
s10_b13_r1_imag0043.jpg,
s10_b13_r1_imag0046.jpg,
s10_b13_r1_imag0047.jpg,1
s10_b13_r1_imag0048.jpg,1
s10_b13_r1_imag0061.jpg,
s10_b13_r1_imag0064.jpg,
s10_b13_r1_imag0076.jpg,
s10_b13_r1_imag0116.jpg,
s10_b13_r1_imag0119.jpg,
s10_b13_r1_imag0122.jpg,
s10_b13_r1_imag0125.jpg,
s10_b13_r1_imag0131.jpg,
s10_b13_r1_imag0140.jpg,1
s10_b13_r1_imag0144.jpg,
s10_b13_r1_imag0147.jpg,
s10_b13_r1_imag0156.jpg,
s10_b13_r1_imag0159.jpg,
s10_b13_r1_imag0165.jpg,
s10_b13_r1_imag0168.jpg,1
s10_b13_r1_imag0169.jpg,1
s10_b13_r1_imag0170.jpg,1
s10_b13_r1_imag0171.jpg,
s10_b13_r1_imag0173.jpg,1
s10_b13_r1_imag0176.jpg,1
s10_b13_r1_imag0188.jpg,
s10_b13_r1_imag0200.jpg,
s10_b13_r1_imag0206.jpg,
s10_b13_r1_imag0209.jpg,
s10_b13_r1_imag0224.jpg,
s10_b13_r1_imag0230.jpg,
s10_b13_r1_imag0233.jpg,
s10_b13_r1_imag0245.jpg,
s10_b13_r1_imag0248.jpg,
s10_b13_r1_imag0260.jpg,
s10_b13_r1_imag0263.jpg,
s10_b13_r1_imag0269.jpg,
s10_b13_r1_imag0278.jpg,
s10_b13_r1_imag0284.jpg,
s10_b13_r1_imag0290.jpg,
s10_b13_r1_imag0296.jpg,
s10_b13_r1_imag0314.jpg,
s10_b13_r1_imag0317.jpg,
s10_b13_r1_imag0332.jpg,
s10_b13_r1_imag0335.jpg,
s10_b13_r1_imag0341.jpg,
s10_b13_r1_imag0350.jpg,
s10_b13_r1_imag0368.jpg,
s10_b13_r1_imag0377.jpg,
s10_b13_r1_imag0389.jpg,1
s10_b13_r1_imag0394.jpg,1
s10_b13_r1_imag0400.jpg,1
